"ProgramId","Name","Jurisdiction","ProgramType","MenuCategory","RepairTags","PriorityRank","MaxBenefit","StatusOrDeadline","Agency","Phone","Email","Website","EligibilitySummary","IncomeGuidance","DocsChecklist","LastVerified"
"51632","HHQ Urgent Care (Syracuse)","","","URGENT SAFETY","roof;heating;electrical;structural;plumbing;stairs""""","100","Up to 20000","Rolling - Call to confirm""""","Home HeadQuarters (HHQ)""""","(315) 474-1939""""","","https://www.homehq.org/homeowner-loans-grants""""","","","",""
"51632","SHARP Grant (Syracuse)","","","URGENT SAFETY","exterior;roof;doors;windows;steps;railings""""","80","Up to 3000","Seasonal - often closed/reopens""""","Home HeadQuarters (HHQ)""""","(315) 474-1939""""","","https://www.homehq.org/homeowner-loans-grants""""","","","",""
"51632","NYS RESTORE (Senior 60+)","","","URGENT SAFETY","roof;heating;structural;electrical;plumbing;accessibility""""","100","10000-20000","Rolling / Funding cycles""""","NYS HCR (via local administrators)""""","Call HHQ / local administrator""""","","https://hcr.ny.gov/restore-program""""","","","",""
"51632","Lead Hazard Control / Healthy Homes","","","HEALTH HAZARDS","lead;windows;doors;siding;paint""""","46","Varies","Varies - Call to confirm""""","City/County Health Programs""""","Call City/County Health""""","","https://www.syr.gov/""""","","","",""
"51632","Access to Home (NYS)","","","AGING IN PLACE","ramps;grab bars;bathroom;mobility""""","40","Varies","Rolling / Funding cycles""""","NYS HCR (local providers)""""","Call HHQ / AccessCNY""""","","https://hcr.ny.gov/access-home-program""""","","","",""
"51632","AccessCNY E-Mods","","","AGING IN PLACE","ramps;grab bars;bathroom;stairs""""","40","Varies","Rolling - Call to confirm""""","AccessCNY""""","(315) 455-7591""""","","https://www.accesscny.org/services/emods/""""","","","",""
"51632","Weatherization (PEACE Inc.)","","","ENERGY & BILLS","insulation;air sealing;heating;windows""""","60","100% Covered (if eligible)","Rolling""""","PEACE Inc.""""","Call PEACE Inc.""""","","https://www.peace-caa.org/programs/energyhousing/""""","","","",""
"51632","NYSERDA EmPower+","","","ENERGY & BILLS","insulation;air sealing;appliances;drafts""""","40","100% Covered (if eligible)","Rolling""""","NYSERDA""""","Call NYSERDA / provider""""","","https://www.nyserda.ny.gov/All-Programs/EmPower-New-York""""","","","",""
"51632","Historic Facade / Exterior Restoration","","","HISTORIC RESTORATION","facade;porch;exterior;windows""""","40","Varies","Varies - Check local programs""""","Varies by district/program""""","Call City planning / preservation""""","","https://www.syr.gov/""""","","","",""
"51632","Down Payment / Homebuyer Assistance","","","BUYING HELP","down payment;closing costs""""","40","Varies","Varies - Check""""","City/County/State programs""""","Call City housing office""""","","https://www.syr.gov/""""","","","",""
